# NIRWizard 0.1.7 — subject GLM nuisance-regressor coefficients (descriptive)
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# regressors: drift_r1_1, drift_r1_2, drift_r1_3, drift_r1_4, drift_r1_5, drift_r1_6, drift_r1_7, drift_r1_8, drift_r1_9, drift_r2_1, drift_r2_2, drift_r2_3, drift_r2_4, drift_r2_5, drift_r2_6, drift_r2_7, drift_r3_1, drift_r3_2, drift_r3_3, drift_r3_4, drift_r3_5, drift_r3_6, drift_r3_7, drift_r3_8, drift_r4_1, drift_r4_2, drift_r4_3, drift_r4_4, drift_r4_5, drift_r4_6, drift_r4_7, run_2, run_3, run_4, intercept
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,signal,regressor,beta,se
S1-D3,HbR,drift_r1_2,-1.180879e-1,3.637527e-1
S1-D3,HbR,drift_r1_3,-2.264692e-1,3.592861e-1
S1-D3,HbR,drift_r1_4,-2.426602e-1,3.549026e-1
S1-D3,HbR,drift_r1_5,4.824722e-1,3.530071e-1
S1-D3,HbR,drift_r1_6,8.788699e-2,3.459926e-1
S1-D3,HbR,drift_r1_7,7.638488e-2,3.413243e-1
S1-D3,HbR,drift_r1_8,-5.037056e-1,3.353845e-1
S1-D3,HbR,drift_r1_9,1.714888e-1,3.286900e-1
S1-D3,HbR,drift_r2_1,7.867682e-3,3.554250e-1
S1-D3,HbR,drift_r2_2,-5.621616e-1,3.532827e-1
S1-D3,HbR,drift_r2_3,-1.521853e-1,3.497772e-1
S1-D3,HbR,drift_r2_4,-4.753400e-1,3.441715e-1
S1-D3,HbR,drift_r2_5,-3.430097e-1,3.391658e-1
S1-D3,HbR,drift_r2_6,-7.974708e-1,3.318205e-1
S1-D3,HbR,drift_r2_7,-5.270543e-1,3.250592e-1
S1-D3,HbR,drift_r3_1,-7.330641e-1,3.578300e-1
S1-D3,HbR,drift_r3_2,-5.510121e-1,3.587718e-1
S1-D3,HbR,drift_r3_3,-1.039961e0,3.520387e-1
S1-D3,HbR,drift_r3_4,-8.059459e-1,3.510333e-1
S1-D3,HbR,drift_r3_5,-8.921286e-2,3.420825e-1
S1-D3,HbR,drift_r3_6,-1.216165e-1,3.371136e-1
S1-D3,HbR,drift_r3_7,4.928458e-2,3.287967e-1
S1-D3,HbR,drift_r3_8,-2.985501e-1,3.213814e-1
S1-D3,HbR,drift_r4_1,4.918209e-1,3.555878e-1
S1-D3,HbR,drift_r4_2,1.778660e-2,3.546604e-1
S1-D3,HbR,drift_r4_3,5.275583e-1,3.501382e-1
S1-D3,HbR,drift_r4_4,-9.371760e-1,3.447256e-1
S1-D3,HbR,drift_r4_5,3.818665e-1,3.399137e-1
S1-D3,HbR,drift_r4_6,4.053828e-1,3.324258e-1
S1-D3,HbR,drift_r4_7,2.296529e-1,3.265548e-1
S1-D3,HbR,run_2,-2.394618e-3,7.154705e-3
S1-D3,HbR,run_3,1.092022e-3,7.526492e-3
S1-D3,HbR,run_4,4.221602e-3,7.539292e-3
S1-D3,HbR,intercept,1.306962e-3,5.041464e-3
S2-D1,HbO,drift_r1_1,3.218018e0,2.618602e0
S2-D1,HbO,drift_r1_2,2.669082e0,2.584845e0
S2-D1,HbO,drift_r1_3,-2.500241e0,2.543967e0
S2-D1,HbO,drift_r1_4,-2.293468e0,2.519461e0
S2-D1,HbO,drift_r1_5,-1.859480e0,2.517018e0
S2-D1,HbO,drift_r1_6,-3.231927e0,2.471618e0
