# NIRWizard 0.1.7 — subject GLM channel statistics
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# solver=AR-IRLS; inferential: p = 2·tcdf(−|t|, dfe); q = Benjamini-Hochberg FDR per condition × chromophore, across channels; hrf=Canonical; fs=10.0000Hz; n_channels=47
# conditions: QUIET, NOISE
# beta unit: μM (from Parameters.Conversion)
# dfe = 21392.000000 (n − p, per fit)
# runs: 4 (concatenated session); 3 run-intercept columns (run_2, run_3, run_4); drift per-run; AR whitening pooled
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,source,detector,separation_mm,signal,effect_type,effect,beta,se,t,dfe,p,q,ar_order,status
S10-D8,10,8,37.176971,HbO,condition,QUIET,7.077369e-2,1.366936e-2,5.177541,21392.000000,0.000000,0.000000,21,good
S10-D8,10,8,37.176971,HbO,condition,NOISE,9.754671e-2,1.378609e-2,7.075732,21392.000000,0.000000,0.000000,21,good
S10-D8,10,8,37.176971,HbR,condition,QUIET,2.180478e-2,4.674049e-3,4.665074,21392.000000,0.000003,0.000009,24,good
S10-D8,10,8,37.176971,HbR,condition,NOISE,3.802004e-2,4.731484e-3,8.035542,21392.000000,0.000000,0.000000,24,good
S10-D9,10,9,36.987178,HbO,condition,QUIET,9.275213e-2,1.695353e-2,5.470963,21392.000000,0.000000,0.000000,21,good
S10-D9,10,9,36.987178,HbO,condition,NOISE,6.244185e-2,1.707211e-2,3.657536,21392.000000,0.000255,0.000293,21,good
S10-D9,10,9,36.987178,HbR,condition,QUIET,4.687981e-3,4.940406e-3,0.948906,21392.000000,0.342679,0.423840,27,good
S10-D9,10,9,36.987178,HbR,condition,NOISE,1.056400e-2,4.993592e-3,2.115511,21392.000000,0.034398,0.052152,27,good
S11-D6,11,6,38.939940,HbO,condition,QUIET,1.309703e-2,2.226058e-2,0.588351,21392.000000,0.556303,0.556303,26,good
S11-D6,11,6,38.939940,HbO,condition,NOISE,5.378590e-2,2.243519e-2,2.397389,21392.000000,0.016521,0.017647,26,good
S11-D6,11,6,38.939940,HbR,condition,QUIET,1.041362e-2,9.568566e-3,1.088316,21392.000000,0.276468,0.360944,26,good
S11-D6,11,6,38.939940,HbR,condition,NOISE,-4.235198e-3,9.614070e-3,-0.440521,21392.000000,0.659564,0.720919,26,good
S11-D9,11,9,36.872287,HbO,condition,QUIET,1.480922e-1,1.377297e-2,10.752379,21392.000000,0.000000,0.000000,24,good
